school_name,school_type,state,city,programs_offered,total_enrollment,veteran_enrollment,yellow_ribbon_program,in_state_tuition,out_of_state_tuition,housing_allowance_rate,graduation_rate,veteran_graduation_rate,post_graduation_employment_rate,gi_bill_students,veteran_services_office,contact_phone,contact_email,website,notes
Northwest Vista College,Community College,Texas,San Antonio,"Liberal Arts, Health, Business, IT, Emergency Services",17000,3550,No,2760,7140,1551,27%,34%,64%,3550,Yes,(210) 486-4000,veterans@alamo.edu,https://www.alamo.edu/nvc,Alamo Colleges District
Dallas College,Community College,Texas,Dallas,"Liberal Arts, Health, Business, Fashion, Media",95000,5450,No,2070,5610,1551,25%,32%,63%,5450,Yes,(214) 378-1700,veterans@dallascollege.edu,https://www.dallascollege.edu,Seven campus system
Collin College,Community College,Texas,McKinney,"Liberal Arts, Health, Business, IT, Fire Science",60000,3950,No,2070,6120,1551,34%,40%,69%,3950,Yes,(972) 881-5790,veterans@collin.edu,https://www.collin.edu,North Dallas suburbs
North Lake College,Community College,Texas,Irving,"Liberal Arts, Health, Business, Aviation, Hospitality",12000,2250,No,2070,5610,1551,28%,35%,65%,2250,Yes,(972) 273-3000,veterans@dcccd.edu,https://www.northlakecollege.edu,Dallas County CCD
Brookhaven College,Community College,Texas,Farmers Branch,"Liberal Arts, Health, Business, IT, Horticulture",13000,2350,No,2070,5610,1551,30%,37%,66%,2350,Yes,(972) 860-4700,veterans@dcccd.edu,https://www.brookhavencollege.edu,Dallas County CCD
Cedar Valley College,Community College,Texas,Lancaster,"Liberal Arts, Health, Business, IT, Aviation",8000,1850,No,2070,5610,1551,26%,33%,64%,1850,Yes,(972) 860-8201,veterans@dcccd.edu,https://www.cedarvalleycollege.edu,Dallas County CCD
Eastfield College,Community College,Texas,Mesquite,"Liberal Arts, Health, Business, IT, Emergency Services",12000,2250,No,2070,5610,1551,27%,34%,65%,2250,Yes,(972) 860-7100,veterans@dcccd.edu,https://www.eastfieldcollege.edu,Dallas County CCD
El Centro College,Community College,Texas,Dallas,"Liberal Arts, Health, Business, Culinary, Hospitality",10000,2150,No,2070,5610,1551,29%,36%,66%,2150,Yes,(214) 860-2000,veterans@dcccd.edu,https://www.elcentrocollege.edu,Downtown Dallas
Mountain View College,Community College,Texas,Dallas,"Liberal Arts, Health, Business, IT, Sustainable Living",8000,1950,No,2070,5610,1551,28%,35%,65%,1950,Yes,(214) 860-8600,veterans@dcccd.edu,https://www.mountainviewcollege.edu,Dallas County CCD
Richland College,Community College,Texas,Dallas,"Liberal Arts, Health, Business, IT, Sustainability",15000,2550,No,2070,5610,1551,31%,38%,67%,2550,Yes,(972) 238-6194,veterans@dcccd.edu,https://www.richlandcollege.edu,Dallas County CCD
College of the Mainland,Community College,Texas,Texas City,"Liberal Arts, Health, Business, Process Tech, Maritime",4000,1280,No,3300,6180,1665,27%,34%,64%,1280,Yes,(409) 938-1211,veterans@com.edu,https://www.com.edu,Gulf Coast
Kilgore College,Community College,Texas,Kilgore,"Liberal Arts, Health, Business, Petroleum, Ranching",6000,1650,No,3030,5280,1209,35%,41%,69%,1650,Yes,(903) 984-8531,veterans@kilgore.edu,https://www.kilgore.edu,East Texas
Temple College,Community College,Texas,Temple,"Liberal Arts, Health, Business, IT, Emergency Medical",6000,1850,No,2940,5520,1209,33%,39%,68%,1850,Yes,(254) 298-8282,veterans@templejc.edu,https://www.templejc.edu,Central Texas near Fort Cavazos
McLennan Community College,Community College,Texas,Waco,"Liberal Arts, Health, Business, Respiratory, IT",9000,2150,No,3090,5700,1209,32%,38%,67%,2150,Yes,(254) 299-8622,veterans@mclennan.edu,https://www.mclennan.edu,Central Texas
Blinn College,Community College,Texas,Brenham,"Liberal Arts, Health, Business, Agriculture, Fire Science",19000,2850,No,3690,6900,1551,48%,54%,76%,2850,Yes,(979) 830-4000,veterans@blinn.edu,https://www.blinn.edu,Strong A&M transfer
Alvin Community College,Community College,Texas,Alvin,"Liberal Arts, Health, Business, Process Tech, Respiratory",5500,1650,No,2040,4680,1665,34%,40%,68%,1650,Yes,(281) 756-3500,veterans@alvincollege.edu,https://www.alvincollege.edu,Houston area
College of the Sequoias,Community College,California,Visalia,"Liberal Arts, Health, Business, Agriculture, Fire Tech",11000,2150,No,1288,7944,2157,45%,51%,74%,2150,Yes,(559) 730-3700,veterans@cos.edu,https://www.cos.edu,Central Valley
Fresno City College,Community College,California,Fresno,"Liberal Arts, Health, Business, Automotive, Aviation",22000,2850,No,1288,7944,2157,44%,50%,73%,2850,Yes,(559) 442-4600,veterans@fresnocitycollege.edu,https://www.fresnocitycollege.edu,Central Valley
Bakersfield College,Community College,California,Bakersfield,"Liberal Arts, Health, Business, Fire, Industrial",18000,2650,No,1288,7944,2157,42%,48%,72%,2650,Yes,(661) 395-4011,veterans@bakersfieldcollege.edu,https://www.bakersfieldcollege.edu,Kern County
Cerro Coso Community College,Community College,California,Ridgecrest,"Liberal Arts, Health, Business, Aviation, Paralegal",5000,1480,No,1288,7944,2373,38%,44%,70%,1480,Yes,(760) 384-6100,veterans@cerrocoso.edu,https://www.cerrocoso.edu,Near China Lake NAWS
Riverside City College,Community College,California,Riverside,"Liberal Arts, Health, Business, Digital Media, Fire",19000,2750,No,1288,7944,2502,43%,49%,73%,2750,Yes,(951) 222-8000,veterans@rcc.edu,https://www.rcc.edu,Inland Empire
Chaffey College,Community College,California,Rancho Cucamonga,"Liberal Arts, Health, Business, Agriculture, Auto Tech",18000,2680,No,1288,7944,2502,46%,52%,74%,2680,Yes,(909) 652-6000,veterans@chaffey.edu,https://www.chaffey.edu,Inland Empire
San Bernardino Valley College,Community College,California,San Bernardino,"Liberal Arts, Health, Business, Automotive, Water Tech",14000,2550,No,1288,7944,2502,41%,47%,71%,2550,Yes,(909) 384-4400,veterans@valleycollege.edu,https://www.valleycollege.edu,Inland Empire
Mt. San Antonio College,Community College,California,Walnut,"Liberal Arts, Health, Business, Aviation, Wildlife",28000,3150,No,1288,7944,2502,47%,53%,75%,3150,Yes,(909) 274-7500,veterans@mtsac.edu,https://www.mtsac.edu,Large So Cal CC
Pasadena City College,Community College,California,Pasadena,"Liberal Arts, Health, Business, Fashion, Media",26000,2950,No,1288,7944,2760,49%,55%,76%,2950,Yes,(626) 585-7123,veterans@pasadena.edu,https://www.pasadena.edu,San Gabriel Valley
Glendale Community College,Community College,California,Glendale,"Liberal Arts, Health, Business, Culinary, Aviation",15000,2450,No,1288,7944,2760,48%,54%,75%,2450,Yes,(818) 240-1000,veterans@glendale.edu,https://www.glendale.edu,Los Angeles area
Los Angeles City College,Community College,California,Los Angeles,"Liberal Arts, Health, Business, Cinema, Theatre",18000,2680,No,1288,7944,2973,40%,46%,71%,2680,Yes,(323) 953-4000,veterans@lacitycollege.edu,https://www.lacitycollege.edu,Hollywood area
East Los Angeles College,Community College,California,Monterey Park,"Liberal Arts, Health, Business, Administration of Justice",22000,2850,No,1288,7944,2973,44%,50%,73%,2850,Yes,(323) 265-8650,veterans@elac.edu,https://www.elac.edu,East LA
Los Angeles Pierce College,Community College,California,Woodland Hills,"Liberal Arts, Health, Business, Veterinary, Agriculture",20000,2750,No,1288,7944,2973,46%,52%,74%,2750,Yes,(818) 719-6401,veterans@piercecollege.edu,https://www.piercecollege.edu,San Fernando Valley
Los Angeles Valley College,Community College,California,Valley Glen,"Liberal Arts, Health, Business, Media, Aviation",18000,2650,No,1288,7944,2973,45%,51%,73%,2650,Yes,(818) 947-2600,veterans@lavc.edu,https://www.lavc.edu,San Fernando Valley
Los Angeles Trade-Technical College,Community College,California,Los Angeles,"Liberal Arts, Culinary, Fashion, Welding, Construction",12000,2350,No,1288,7944,2973,39%,45%,70%,2350,Yes,(213) 763-7000,veterans@lattc.edu,https://www.lattc.edu,Downtown LA trades
Los Angeles Southwest College,Community College,California,Los Angeles,"Liberal Arts, Health, Business, Child Development",7000,1850,No,1288,7944,2973,37%,43%,69%,1850,Yes,(323) 241-5225,veterans@lasc.edu,https://www.lasc.edu,South LA
West Los Angeles College,Community College,California,Culver City,"Liberal Arts, Dental Hygiene, Business, Aviation, Media",10000,2150,No,1288,7944,2973,42%,48%,72%,2150,Yes,(310) 287-4200,veterans@wlac.edu,https://www.wlac.edu,Westside LA
Long Beach City College,Community College,California,Long Beach,"Liberal Arts, Health, Business, Aviation, Fire",25000,2950,No,1288,7944,2760,44%,50%,73%,2950,Yes,(562) 938-4353,veterans@lbcc.edu,https://www.lbcc.edu,South Bay
Cerritos College,Community College,California,Norwalk,"Liberal Arts, Dental Hygiene, Business, Auto, Cosmetology",21000,2850,No,1288,7944,2760,47%,53%,75%,2850,Yes,(562) 860-2451,veterans@cerritos.edu,https://www.cerritos.edu,Southeast LA County
Cypress College,Community College,California,Cypress,"Liberal Arts, Dental Hygiene, Business, Mortuary, Veterinary",13000,2450,No,1288,7944,2373,46%,52%,74%,2450,Yes,(714) 484-7000,veterans@cypresscollege.edu,https://www.cypresscollege.edu,North Orange County
Fullerton College,Community College,California,Fullerton,"Liberal Arts, Health, Business, Horticulture, Fire",21000,2850,No,1288,7944,2373,50%,56%,76%,2850,Yes,(714) 992-7000,veterans@fullcoll.edu,https://www.fullcoll.edu,North Orange County
Golden West College,Community College,California,Huntington Beach,"Liberal Arts, Nursing, Business, Police, Fire",12000,2350,No,1288,7944,2373,48%,54%,75%,2350,Yes,(714) 892-7711,veterans@gwc.cccd.edu,https://www.goldenwestcollege.edu,Orange County coast
Orange Coast College,Community College,California,Costa Mesa,"Liberal Arts, Sailing, Business, Aviation, Film",22000,2950,No,1288,7944,2373,52%,58%,77%,2950,Yes,(714) 432-5072,veterans@occ.cccd.edu,https://www.orangecoastcollege.edu,Orange County
Santiago Canyon College,Community College,California,Orange,"Liberal Arts, Biological Sciences, Graphic Design, Business",11000,2250,No,1288,7944,2373,49%,55%,76%,2250,Yes,(714) 628-4900,veterans@sccollege.edu,https://www.sccollege.edu,Orange County
Santa Ana College,Community College,California,Santa Ana,"Liberal Arts, Occupational Therapy, Business, Digital Media",18000,2650,No,1288,7944,2373,45%,51%,73%,2650,Yes,(714) 564-6000,veterans@sac.edu,https://www.sac.edu,Central Orange County
Irvine Valley College,Community College,California,Irvine,"Liberal Arts, Health, Business, Laser Technology, Photography",14000,2450,No,1288,7944,2502,51%,57%,77%,2450,Yes,(949) 451-5100,veterans@ivc.edu,https://www.ivc.edu,South Orange County
Saddleback College,Community College,California,Mission Viejo,"Liberal Arts, Health, Business, Aviation, Marine",18000,2750,No,1288,7944,2373,49%,55%,76%,2750,Yes,(949) 582-4500,veterans@saddleback.edu,https://www.saddleback.edu,South Orange County
Palomar College,Community College,California,San Marcos,"Liberal Arts, Health, Business, Fire, Law Enforcement",24000,2950,No,1288,7944,2760,47%,53%,75%,2950,Yes,(760) 744-1150,veterans@palomar.edu,https://www.palomar.edu,North San Diego County
MiraCosta College,Community College,California,Oceanside,"Liberal Arts, Biotechnology, Business, Horticulture, Music",14000,2550,No,1288,7944,2760,50%,56%,76%,2550,Yes,(760) 757-2121,veterans@miracosta.edu,https://www.miracosta.edu,North County coastal
Southwestern College,Community College,California,Chula Vista,"Liberal Arts, Health, Business, Public Safety, Dental",19000,2780,No,1288,7944,2760,43%,49%,72%,2780,Yes,(619) 421-6700,veterans@swccd.edu,https://www.swccd.edu,South San Diego County
Grossmont College,Community College,California,El Cajon,"Liberal Arts, Health, Business, Cardiovascular, Orthopedic",17000,2680,No,1288,7944,2760,48%,54%,75%,2680,Yes,(619) 644-7000,veterans@grossmont.edu,https://www.grossmont.edu,East San Diego County
Cuyamaca College,Community College,California,El Cajon,"Liberal Arts, Automotive, Business, Water/Wastewater, Ornamental",9000,2150,No,1288,7944,2760,46%,52%,74%,2150,Yes,(619) 660-4000,veterans@cuyamaca.edu,https://www.cuyamaca.edu,East San Diego County
San Diego City College,Community College,California,San Diego,"Liberal Arts, Health, Business, Graphic Design, Culinary",16000,2580,No,1288,7944,2760,44%,50%,73%,2580,Yes,(619) 388-3400,veterans@sdccd.edu,https://www.sdcity.edu,Downtown San Diego
San Diego Miramar College,Community College,California,San Diego,"Liberal Arts, Aviation, Business, Diesel, Fire",13000,2450,No,1288,7944,2760,47%,53%,75%,2450,Yes,(619) 388-7800,veterans@sdmiramar.edu,https://www.sdmiramar.edu,Near MCAS Miramar
Diablo Valley College,Community College,California,Pleasant Hill,"Liberal Arts, Health, Business, Culinary, Dental",21000,2850,No,1288,7944,2973,52%,58%,77%,2850,Yes,(925) 685-1230,veterans@dvc.edu,https://www.dvc.edu,East Bay
Contra Costa College,Community College,California,San Pablo,"Liberal Arts, Dental Hygiene, Business, Culinary, Photography",6500,1850,No,1288,7944,2973,40%,46%,71%,1850,Yes,(510) 235-7800,veterans@contracosta.edu,https://www.contracosta.edu,West Contra Costa
Los Medanos College,Community College,California,Pittsburg,"Liberal Arts, Health, Business, Administration of Justice",9000,2150,No,1288,7944,2973,43%,49%,72%,2150,Yes,(925) 439-2181,veterans@losmedanos.edu,https://www.losmedanos.edu,East Contra Costa
Las Positas College,Community College,California,Livermore,"Liberal Arts, Health, Business, Viticulture, Fire",8000,1950,No,1288,7944,2973,45%,51%,73%,1950,Yes,(925) 424-1000,veterans@laspositascollege.edu,https://www.laspositascollege.edu,Tri-Valley
Chabot College,Community College,California,Hayward,"Liberal Arts, Dental Hygiene, Business, Fire, Automotive",13000,2450,No,1288,7944,2973,46%,52%,74%,2450,Yes,(510) 723-6600,veterans@chabotcollege.edu,https://www.chabotcollege.edu,East Bay
Ohlone College,Community College,California,Fremont,"Liberal Arts, Health, Business, Horticulture, Fire",11000,2250,No,1288,7944,2973,48%,54%,75%,2250,Yes,(510) 659-6000,veterans@ohlone.edu,https://www.ohlone.edu,East Bay
Mission College,Community College,California,Santa Clara,"Liberal Arts, Health, Business, Engineering, Diagnostic Medical",7500,1950,No,1288,7944,3003,47%,53%,75%,1950,Yes,(408) 988-2200,veterans@missioncollege.edu,https://www.missioncollege.edu,Silicon Valley
De Anza College,Community College,California,Cupertino,"Liberal Arts, Health, Business, Winemaking, Animation",21000,2850,No,1288,7944,3003,53%,59%,78%,2850,Yes,(408) 864-5678,veterans@deanza.edu,https://www.deanza.edu,Silicon Valley
Foothill College,Community College,California,Los Altos Hills,"Liberal Arts, Dental Hygiene, Business, Veterinary, Radiologic",15000,2550,No,1288,7944,3003,54%,60%,79%,2550,Yes,(650) 949-7777,veterans@foothill.edu,https://www.foothill.edu,Silicon Valley
West Valley College,Community College,California,Saratoga,"Liberal Arts, Health, Business, Interior Design, Fashion",9000,2050,No,1288,7944,3003,49%,55%,76%,2050,Yes,(408) 867-2200,veterans@westvalley.edu,https://www.westvalley.edu,Silicon Valley
Evergreen Valley College,Community College,California,San Jose,"Liberal Arts, Health, Business, Aviation, Photography",9500,2150,No,1288,7944,3003,45%,51%,73%,2150,Yes,(408) 274-7900,veterans@evc.edu,https://www.evc.edu,East San Jose
San Jose City College,Community College,California,San Jose,"Liberal Arts, Dental Hygiene, Business, Fire, Interior Design",8000,1950,No,1288,7944,3003,44%,50%,72%,1950,Yes,(408) 288-3700,veterans@sjcc.edu,https://www.sjcc.edu,Downtown San Jose
Canada College,Community College,California,Redwood City,"Liberal Arts, Radiologic, Business, Fashion, Kinesiology",6000,1750,No,1288,7944,3003,48%,54%,75%,1750,Yes,(650) 306-3100,veterans@canadacollege.edu,https://www.canadacollege.edu,San Mateo County
College of San Mateo,Community College,California,San Mateo,"Liberal Arts, Dental Hygiene, Business, Cosmetology, Automotive",9000,2050,No,1288,7944,3003,50%,56%,76%,2050,Yes,(650) 574-6161,veterans@collegeofsanmateo.edu,https://www.collegeofsanmateo.edu,San Mateo County
Skyline College,Community College,California,San Bruno,"Liberal Arts, Respiratory, Business, Cosmetology, Automotive",8500,1950,No,1288,7944,3003,47%,53%,75%,1950,Yes,(650) 738-4100,veterans@skylinecollege.edu,https://www.skylinecollege.edu,Near SFO airport
City College of San Francisco,Community College,California,San Francisco,"Liberal Arts, Health, Business, Culinary, Aviation",60000,4200,No,1288,7944,3003,42%,48%,71%,4200,Yes,(415) 239-3000,veterans@ccsf.edu,https://www.ccsf.edu,Largest SF college
Laney College,Community College,California,Oakland,"Liberal Arts, Carpentry, Business, Machining, Welding",12000,2350,No,1288,7944,2973,38%,44%,69%,2350,Yes,(510) 834-5740,veterans@laney.edu,https://www.laney.edu,Peralta District
Merritt College,Community College,California,Oakland,"Liberal Arts, Health, Business, Landscape, Fire",6000,1750,No,1288,7944,2973,36%,42%,68%,1750,Yes,(510) 434-3900,veterans@merritt.edu,https://www.merritt.edu,Oakland hills
College of Alameda,Community College,California,Alameda,"Liberal Arts, Health, Business, Aviation, Dental Hygiene",6500,1850,No,1288,7944,2973,37%,43%,69%,1850,Yes,(510) 522-7221,veterans@peralta.edu,https://www.alameda.peralta.edu,Island campus
Berkeley City College,Community College,California,Berkeley,"Liberal Arts, Business, Biotechnology, Multimedia, Community Health",7000,1950,No,1288,7944,3003,39%,45%,70%,1950,Yes,(510) 981-2800,veterans@berkeleycitycollege.edu,https://www.berkeleycitycollege.edu,Downtown Berkeley
Solano Community College,Community College,California,Fairfield,"Liberal Arts, Health, Business, Fire, Biotechnology",11000,2450,No,1288,7944,2760,41%,47%,71%,2450,Yes,(707) 864-7000,veterans@solano.edu,https://www.solano.edu,Near Travis AFB
Napa Valley College,Community College,California,Napa,"Liberal Arts, Health, Business, Viticulture, Culinary",7000,1850,No,1288,7944,2760,44%,50%,73%,1850,Yes,(707) 256-7000,veterans@napavalley.edu,https://www.napavalley.edu,Wine country
Santa Rosa Junior College,Community College,California,Santa Rosa,"Liberal Arts, Health, Business, Agriculture, Fire",24000,2950,No,1288,7944,2760,49%,55%,76%,2950,Yes,(707) 527-4011,veterans@santarosa.edu,https://www.santarosa.edu,Sonoma County
College of Marin,Community College,California,Kentfield,"Liberal Arts, Health, Business, Fire, Landscape",7500,1950,No,1288,7944,3003,45%,51%,73%,1950,Yes,(415) 457-8811,veterans@marin.edu,https://www.marin.edu,Marin County
Front Range Community College,Community College,Colorado,Westminster,"Business, Technology, Healthcare, Liberal Arts",25000,450,Yes,"$4,200","$15,800","$1,953",45%,52%,72%,450,(720) 466-1600,veteran.services@frontrange.edu,https://www.frontrange.edu,"Multiple campuses, strong transfer programs"
Red Rocks Community College,Community College,Colorado,Lakewood,"Business, Arts, Science, Technology",8500,180,Yes,"$4,100","$15,400","$1,953",48%,55%,68%,180,(303) 914-6600,veterans@rrcc.edu,https://www.rrcc.edu,"Scenic campus, outdoor recreation programs"
Pikes Peak Community College,Community College,Colorado,Colorado Springs,"Military Studies, Healthcare, Technology",12000,650,Yes,"$4,300","$15,900","$1,953",42%,58%,75%,650,(719) 502-2000,military@pikespeak.edu,https://www.pikespeak.edu,"Near Fort Carson, military-friendly"
Community College of Denver,Community College,Colorado,Denver,"Liberal Arts, Healthcare, Business",8000,200,Yes,"$4,400","$16,200","$1,953",35%,48%,65%,200,(303) 556-2600,veteranservices@ccd.edu,https://www.ccd.edu,"Urban campus, diverse programs"
Arapahoe Community College,Community College,Colorado,Littleton,"Business, Technology, Healthcare",7500,175,Yes,"$4,200","$15,700","$1,953",46%,53%,70%,175,(303) 797-4222,veterans@arapahoe.edu,https://www.arapahoe.edu,"Transfer-focused, strong academics"
Gateway Community College,Community College,Connecticut,New Haven,"Liberal Arts, Healthcare, Technology",6800,145,Yes,"$4,200","$12,600","$1,836",38%,45%,68%,145,(203) 285-2000,veterans@gwcc.commnet.edu,https://www.gwcc.commnet.edu,"Urban campus, diverse student body"
Housatonic Community College,Community College,Connecticut,Bridgeport,"Business, Arts, Science",5200,120,Yes,"$4,200","$12,600","$1,836",42%,50%,72%,120,(203) 332-5000,veterans@hcc.commnet.edu,https://www.hcc.commnet.edu,"Affordable, transfer programs"
Middlesex Community College,Community College,Connecticut,Middletown,"Liberal Arts, Healthcare, Technology",2800,65,Yes,"$4,200","$12,600","$1,836",45%,52%,75%,65,(860) 343-5800,veterans@mxcc.commnet.edu,https://www.mxcc.commnet.edu,"Small class sizes, personal attention"
Norwalk Community College,Community College,Connecticut,Norwalk,"Business, Technology, Healthcare",5500,110,Yes,"$4,200","$12,600","$1,836",48%,55%,78%,110,(203) 857-7000,veterans@ncc.commnet.edu,https://www.ncc.commnet.edu,"Coastal location, strong programs"
Delaware Technical Community College,Community College,Delaware,Dover,"Technology, Healthcare, Business",12000,280,Yes,"$3,900","$10,200","$1,584",42%,50%,74%,280,(302) 857-1000,veterans@dtcc.edu,https://www.dtcc.edu,"Multiple campuses statewide"
Miami Dade College,Community College,Florida,Miami,"Liberal Arts, Healthcare, Technology",165000,2500,Yes,"$2,800","$10,500","$1,779",32%,42%,65%,2500,(305) 237-8888,veterans@mdc.edu,https://www.mdc.edu,"Largest community college in US"
Broward College,Community College,Florida,Fort Lauderdale,"Business, Technology, Healthcare",65000,1200,Yes,"$2,900","$11,200","$1,779",38%,48%,70%,1200,(954) 201-7350,veterans@broward.edu,https://www.broward.edu,"Multiple campuses, strong veteran support"
Valencia College,Community College,Florida,Orlando,"Liberal Arts, Healthcare, Technology",72000,1400,Yes,"$2,800","$10,800","$1,779",45%,54%,75%,1400,(407) 582-1507,veterans@valenciacollege.edu,https://www.valenciacollege.edu,"Disney partnership, hospitality programs"
Palm Beach State College,Community College,Florida,Lake Worth,"Business, Healthcare, Technology",48000,950,Yes,"$2,900","$11,100","$1,779",40%,50%,72%,950,(561) 967-7222,veteranservices@palmbeachstate.edu,https://www.palmbeachstate.edu,"Multiple campuses, comprehensive programs"
Hillsborough Community College,Community College,Florida,Tampa,"Liberal Arts, Healthcare, Technology",45000,850,Yes,"$2,800","$10,600","$1,779",42%,52%,74%,850,(813) 253-7000,veterans@hccfl.edu,https://www.hccfl.edu,"Near MacDill AFB, military-friendly"
St. Petersburg College,Community College,Florida,St. Petersburg,"Business, Technology, Healthcare",32000,680,Yes,"$2,900","$11,000","$1,779",48%,56%,78%,680,(727) 341-4772,veterans@spcollege.edu,https://www.spcollege.edu,"Waterfront campus, strong academics"
Seminole State College,Community College,Florida,Sanford,"Liberal Arts, Healthcare, Technology",18000,380,Yes,"$2,800","$10,700","$1,779",44%,52%,73%,380,(407) 708-2050,veterans@seminolestate.edu,https://www.seminolestate.edu,"Multiple campuses, transfer programs"
Polk State College,Community College,Florida,Winter Haven,"Business, Healthcare, Technology",12000,280,Yes,"$2,900","$11,200","$1,779",40%,48%,70%,280,(863) 297-1000,veterans@polk.edu,https://www.polk.edu,"Central Florida location"
Indian River State College,Community College,Florida,Fort Pierce,"Liberal Arts, Healthcare, Technology",16000,340,Yes,"$2,800","$10,900","$1,779",46%,54%,75%,340,(772) 462-4772,veterans@irsc.edu,https://www.irsc.edu,"Multiple campuses, strong programs"
Central Georgia Technical College,Technical College,Georgia,Macon,"Technology, Healthcare, Business",8500,195,Yes,"$2,600","$7,800","$1,476",55%,62%,82%,195,(478) 757-3400,veterans@centralgatech.edu,https://www.centralgatech.edu,"Technical focus, job placement"
Savannah Technical College,Technical College,Georgia,Savannah,"Technology, Healthcare, Business",4200,105,Yes,"$2,600","$7,800","$1,476",58%,65%,85%,105,(912) 443-5700,veterans@savannahtech.edu,https://www.savannahtech.edu,"Port city location, logistics programs"
Albany Technical College,Technical College,Georgia,Albany,"Technology, Healthcare, Business",3800,90,Yes,"$2,600","$7,800","$1,476",52%,60%,80%,90,(229) 430-3500,veterans@albanytech.edu,https://www.albanytech.edu,"Southwest Georgia, technical training"
Augusta Technical College,Technical College,Georgia,Augusta,"Technology, Healthcare, Business",4500,115,Yes,"$2,600","$7,800","$1,476",56%,63%,83%,115,(706) 771-4000,veterans@augustatech.edu,https://www.augustatech.edu,"Near Fort Gordon, cybersecurity programs"
Kapiolani Community College,Community College,Hawaii,Honolulu,"Liberal Arts, Healthcare, Culinary Arts",7500,280,Yes,"$3,500","$10,200","$2,571",42%,52%,70%,280,(808) 734-9000,veterans@hawaii.edu,https://www.kapiolani.hawaii.edu,"Diamond Head location, culinary programs"
Leeward Community College,Community College,Hawaii,Pearl City,"Liberal Arts, Technology, Business",6200,240,Yes,"$3,500","$10,200","$2,571",40%,50%,68%,240,(808) 455-0011,veterans@hawaii.edu,https://www.leeward.hawaii.edu,"Near Pearl Harbor, military-friendly"
College of Southern Idaho,Community College,Idaho,Twin Falls,"Liberal Arts, Agriculture, Technology",8500,185,Yes,"$4,000","$11,500","$1,386",45%,52%,72%,185,(208) 733-9554,veterans@csi.edu,https://www.csi.edu,"Agriculture programs, rural setting"
North Idaho College,Community College,Idaho,Coeur d'Alene,"Liberal Arts, Technology, Healthcare",5200,125,Yes,"$4,100","$12,000","$1,386",48%,55%,75%,125,(208) 769-3300,veterans@nic.edu,https://www.nic.edu,"Lake Coeur d'Alene location, outdoor programs"
College of DuPage,Community College,Illinois,Glen Ellyn,"Liberal Arts, Healthcare, Technology",28000,520,Yes,"$4,600","$12,800","$1,611",42%,50%,72%,520,(630) 942-2800,veterans@cod.edu,https://www.cod.edu,"Largest community college in Illinois"
Harper College,Community College,Illinois,Palatine,"Business, Healthcare, Technology",14000,285,Yes,"$4,800","$13,200","$1,611",48%,56%,75%,285,(847) 925-6000,veterans@harpercollege.edu,https://www.harpercollege.edu,"Northwest suburbs, strong programs"
Triton College,Community College,Illinois,River Grove,"Liberal Arts, Technology, Healthcare",12000,265,Yes,"$4,500","$12,600","$1,611",38%,46%,68%,265,(708) 456-0300,veterans@triton.edu,https://www.triton.edu,"Chicago suburbs, diverse programs"
Moraine Valley Community College,Community College,Illinois,Palos Hills,"Business, Healthcare, Technology",15000,310,Yes,"$4,700","$13,000","$1,611",44%,52%,74%,310,(708) 974-4300,veterans@morainevalley.edu,https://www.morainevalley.edu,"Southwest suburbs, comprehensive programs"
Oakton Community College,Community College,Illinois,Des Plaines,"Liberal Arts, Healthcare, Technology",10000,220,Yes,"$4,800","$13,400","$1,611",46%,54%,76%,220,(847) 635-1600,veterans@oakton.edu,https://www.oakton.edu,"Two campuses, transfer focus"
Elgin Community College,Community College,Illinois,Elgin,"Business, Technology, Healthcare",11000,240,Yes,"$4,600","$12,900","$1,611",42%,50%,72%,240,(847) 697-1000,veterans@elgin.edu,https://www.elgin.edu,"Fox Valley area, strong programs"
Joliet Junior College,Community College,Illinois,Joliet,"Liberal Arts, Healthcare, Technology",13000,280,Yes,"$4,500","$12,700","$1,611",40%,48%,70%,280,(815) 729-9020,veterans@jjc.edu,https://www.jjc.edu,"Southwest of Chicago, comprehensive"
Ivy Tech Community College,Community College,Indiana,Indianapolis,"Business, Healthcare, Technology",95000,1850,Yes,"$4,200","$8,900","$1,089",28%,38%,65%,1850,(888) 489-5463,veterans@ivytech.edu,https://www.ivytech.edu,"Statewide system, largest in Indiana"
Vincennes University,Community College,Indiana,Vincennes,"Liberal Arts, Technology, Aviation",5800,145,Yes,"$5,800","$15,200","$1,089",45%,52%,72%,145,(812) 888-4313,veterans@vinu.edu,https://www.vinu.edu,"Oldest college in Indiana, aviation programs"
Des Moines Area Community College,Community College,Iowa,Ankeny,"Business, Healthcare, Technology",22000,420,Yes,"$4,500","$9,200","$1,089",42%,50%,72%,420,(515) 964-6241,veterans@dmacc.edu,https://www.dmacc.edu,"Multiple campuses, comprehensive programs"
Kirkwood Community College,Community College,Iowa,Cedar Rapids,"Liberal Arts, Healthcare, Technology",16000,340,Yes,"$4,600","$9,400","$1,089",48%,56%,75%,340,(319) 398-5411,veterans@kirkwood.edu,https://www.kirkwood.edu,"Eastern Iowa, strong programs"
Indian Hills Community College,Community College,Iowa,Ottumwa,"Business, Technology, Healthcare",4200,95,Yes,"$4,400","$9,000","$1,089",44%,52%,73%,95,(641) 683-5111,veterans@indianhills.edu,https://www.indianhills.edu,"Rural location, affordable"
